net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
-5.267282007,1365.00,-0.74,419.480,-0.14,"1,519.99",3.19
8.48185273,1390.99,1.90,419.710,0.05,"1,502.10",-1.18
3.470336617,1394.23,0.23,419.550,-0.04,"1,491.76",-0.69
3.71988215,1401.35,0.51,417.560,-0.47,"1,497.34",0.37
-9.551720333,1402.22,0.06,419.970,0.58,"1,509.92",0.84
4.840193573,1402.80,0.04,421.530,0.37,"1,507.57",-0.16
-5.03643783,1405.87,0.22,421.130,-0.09,"1,500.18",-0.49
-10.60709543,1404.11,-0.13,420.570,-0.13,"1,511.66",0.77
-5.932850867,1403.93,-0.01,421.160,0.14,"1,494.08",-1.16
4.415359497,1405.53,0.11,422.220,0.25,"1,495.60",0.10
-6.0403355,1415.51,0.71,423.220,0.24,"1,491.26",-0.29
-12.85729474,1418.16,0.19,423.400,0.04,"1,493.60",0.16
-7.377149183,1418.13,0.00,422.120,-0.30,"1,490.79",-0.19
8.68878364,1413.17,-0.35,422.040,-0.02,"1,494.48",0.25
7.65261097,1413.49,0.02,424.600,0.61,"1,482.72",-0.79
-6.807084254,1402.08,-0.81,424.580,0.00,"1,501.64",1.28
6.994461497,1411.13,0.65,426.470,0.45,"1,490.21",-0.76
11.07802815,1410.44,-0.05,427.090,0.15,"1,479.24",-0.74
27.52018215,1409.30,-0.08,427.830,0.17,"1,470.30",-0.60
-6.747422091,1410.49,0.08,427.890,0.01,"1,486.67",1.11
7.884118645,1399.48,-0.78,427.850,-0.01,"1,464.44",-1.50
-4.790617301,1406.58,0.51,431.700,0.90,"1,474.97",0.72
7.920213616,#N/A,#N/A,429.570,-0.49,"1,470.86",-0.28
12.86820631,1404.94,#N/A,427.440,-0.50,"1,466.74",-0.28
-4.130829878,1403.44,-0.11,428.520,0.25,"1,463.41",-0.23
-4.308819898,1432.12,2.04,428.140,-0.09,"1,464.42",0.07
-4.502839126,1437.92,0.40,430.210,0.48,"1,440.83",-1.61
15.30282113,1429.08,-0.61,429.980,-0.05,"1,445.69",0.34
3.59066329,1433.56,0.31,429.520,-0.11,"1,439.34",-0.44
5.256780699,1436.56,0.21,427.330,-0.51,"1,438.62",-0.05
3.036553762,1459.99,1.63,424.610,-0.64,"1,421.20",-1.21
3.970841729,1465.77,0.40,424.120,-0.12,"1,408.07",-0.92
-3.500922173,1461.19,-0.31,427.720,0.85,"1,388.74",-1.37
