S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
1838.13,0.03,421.200,0.04,"1,069.25",0.55
1842.37,0.23,421.190,0.00,"1,030.15",-3.66
1819.20,-1.26,420.560,-0.15,"1,021.83",-0.81
1838.88,1.08,422.370,0.43,997.11,-2.42
1848.38,0.52,419.620,-0.65,"1,011.77",1.47
1845.89,-0.13,415.400,-1.01,"1,011.42",-0.03
1838.70,-0.39,414.930,-0.11,994.88,-1.64
#N/A,#N/A,415.220,0.07,953.73,-4.14
1843.80,#N/A,417.830,0.63,947.43,-0.66
1844.86,0.06,416.490,-0.32,946.36,-0.11
1828.46,-0.89,#N/A,#N/A,937.13,-0.98
1790.29,-2.09,419.290,#N/A,947.5,1.11
1781.56,-0.49,421.070,0.42,889.54,-6.12
1792.50,0.61,421.370,0.07,893.53,0.45
1774.20,-1.02,419.890,-0.35,888.86,-0.52
1794.19,1.13,418.620,-0.30,912.51,2.66
1782.59,-0.65,421.720,0.74,960.38,5.25
1741.89,-2.28,421.590,-0.03,979.62,2.00
1755.20,0.76,419.640,-0.46,956.59,-2.35
1751.64,-0.20,420.930,0.31,940.1,-1.72
1773.43,1.24,420.140,-0.19,958.28,1.93
1797.02,1.33,421.570,0.34,955.28,-0.31
1799.84,0.16,419.830,-0.41,962.08,0.71
1819.75,1.11,419.580,-0.06,997.51,3.68
1819.26,-0.03,419.810,0.05,"1,013.66",1.62
1829.83,0.58,419.560,-0.06,989.06,-2.43
1838.63,0.48,419.720,0.04,973.87,-1.54
#N/A,#N/A,420.340,0.15,938.3,-3.65
1840.76,#N/A,420.110,-0.05,932.38,-0.63
1828.75,-0.65,416.180,-0.94,941.3,0.96
1839.78,0.60,416.560,0.09,930.89,-1.11
1836.25,-0.19,419.480,0.70,945.77,1.60
1847.61,0.62,420.960,0.35,986.05,4.26
1845.12,-0.13,423.040,0.49,952.58,-3.39
1845.16,0.00,423.270,0.05,970.23,1.85
1854.29,0.49,422.550,-0.17,"1,016.48",4.77
1859.45,0.28,420.330,-0.53,987.49,-2.85
1845.73,-0.74,420.930,0.14,"1,033.32",4.64
1873.91,1.53,422.660,0.41,972.83,-5.85
1873.81,-0.01,419.830,-0.67,916.57,-5.78
1877.03,0.17,418.900,-0.22,903.28,-1.45
1878.04,0.05,419.070,0.04,834.59,-7.60
1877.17,-0.05,417.710,-0.32,849.2,1.75
1867.63,-0.51,414.030,-0.88,857.14,0.93
1868.20,0.03,415.070,0.25,923.23,7.71
1846.34,-1.17,423.440,2.02,940.93,1.92
1841.13,-0.28,423.490,0.01,933.71,-0.77
1858.83,0.96,417.020,-1.53,925.98,-0.83
1872.25,0.72,419.310,0.55,871.26,-5.91
1860.77,-0.61,421.200,0.45,826.41,-5.15
1872.01,0.60,417.610,-0.85,757.71,-8.31
1866.52,-0.29,413.720,-0.93,790.88,4.38
1857.44,-0.49,413.860,0.03,823.76,4.16
1865.62,0.44,414.410,0.13,810.75,-1.58
1852.56,-0.70,413.470,-0.23,907.35,11.91
1849.04,-0.19,415.460,0.48,861.42,-5.06
1857.62,0.46,417.300,0.44,"1,062.70",23.37
1872.34,0.79,419.930,0.63,980.79,-7.71
1885.52,0.70,421.710,0.42,"1,094.90",11.63
1890.90,0.29,422.200,0.12,"1,173.23",7.15
1888.77,-0.11,417.710,-1.06,"1,127.67",-3.88
1865.09,-1.25,421.090,0.81,"1,223.75",8.52
1845.04,-1.08,423.840,0.65,"1,244.13",1.67
1851.96,0.38,424.840,0.24,"1,274.16",2.41
1872.18,1.09,424.370,-0.11,"1,227.24",-3.68
1833.08,-2.09,427.010,0.62,"1,232.42",0.42
1815.69,-0.95,428.470,0.34,"1,186.52",-3.72
1830.61,0.82,428.790,0.07,"1,216.32",2.51
1842.98,0.68,428.430,-0.08,"1,286.52",5.77
1862.31,1.05,427.650,-0.18,"1,300.27",1.07
1864.85,0.14,429.540,0.44,"1,339.88",3.05
#N/A,#N/A,429.600,0.01,"1,358.59",1.40
1871.89,#N/A,429.260,-0.08,"1,353.57",-0.37
1879.55,0.41,430.850,0.37,"1,334.80",-1.39
1875.39,-0.22,435.010,0.97,"1,355.42",1.54
1878.61,0.17,431.820,-0.73,"1,355.02",-0.03
1863.40,-0.81,434.820,0.69,"1,339.56",-1.14
1869.43,0.32,434.190,-0.14,"1,331.78",-0.58
1878.33,0.48,431.600,-0.60,"1,327.15",-0.35
1883.95,0.30,428.220,-0.78,"1,327.32",0.01
1883.68,-0.01,429.070,0.20,"1,312.35",-1.13
1881.14,-0.13,427.080,-0.46,"1,313.95",0.12
1884.66,0.19,429.380,0.54,"1,308.20",-0.44
1867.72,-0.90,432.650,0.76,"1,308.81",0.05
1878.21,0.56,430.990,-0.38,"1,295.29",-1.03
1875.63,-0.14,427.270,-0.86,"1,291.67",-0.28
1878.48,0.15,428.240,0.23,"1,307.23",1.20
1896.65,0.97,427.150,-0.25,"1,308.00",0.06
1897.45,0.04,427.970,0.19,"1,310.16",0.17
1888.53,-0.47,429.300,0.31,"1,305.80",-0.33
1870.85,-0.94,430.990,0.39,"1,313.03",0.55
1877.86,0.37,435.910,1.14,"1,317.49",0.34
1885.08,0.38,432.640,-0.75,"1,306.94",-0.80
1872.83,-0.65,432.120,-0.12,"1,316.71",0.75
1888.03,0.81,431.100,-0.24,"1,304.20",-0.95
1892.49,0.24,431.660,0.13,"1,303.06",-0.09
1900.53,0.42,428.740,-0.68,"1,289.73",-1.02
#N/A,#N/A,431.610,0.67,"1,278.52",-0.87
1911.91,#N/A,433.300,0.39,"1,283.55",0.39
1909.78,-0.11,432.860,-0.10,"1,269.88",-1.07
1920.03,0.54,436.040,0.73,"1,261.12",-0.69
1923.57,0.18,436.890,0.19,"1,263.12",0.16
1924.97,0.07,438.810,0.44,"1,258.68",-0.35
1924.24,-0.04,438.200,-0.14,"1,272.52",1.10
1927.88,0.19,439.980,0.41,"1,270.48",-0.16
1940.46,0.65,440.560,0.13,"1,257.34",-1.03
1949.44,0.46,437.270,-0.75,"1,278.68",1.70
1951.27,0.09,439.890,0.60,"1,269.74",-0.70
1950.79,-0.02,441.060,0.27,"1,271.26",0.12
1943.89,-0.35,441.500,0.10,"1,266.98",-0.34
1930.11,-0.71,441.110,-0.09,"1,260.73",-0.49
1936.16,0.31,441.990,0.20,"1,258.05",-0.21
1937.78,0.08,443.120,0.26,"1,265.93",0.63
1941.99,0.22,442.800,-0.07,"1,260.05",-0.46
1956.98,0.77,445.210,0.54,"1,252.00",-0.64
1959.48,0.13,444.450,-0.17,"1,241.07",-0.87
1962.87,0.17,441.510,-0.66,"1,251.83",0.87
1962.61,-0.01,441.670,0.04,"1,244.30",-0.60
1949.98,-0.64,441.010,-0.15,"1,247.05",0.22
1959.53,0.49,440.640,-0.08,"1,267.67",1.65
1957.22,-0.12,444.430,0.86,"1,285.69",1.42
1960.96,0.19,445.310,0.20,"1,291.84",0.48
1960.23,-0.04,443.700,-0.36,"1,289.55",-0.18
1973.32,0.67,443.100,-0.14,"1,287.19",-0.18
1974.62,0.07,443.170,0.02,"1,287.27",0.01
1985.44,0.55,445.380,0.50,"1,282.88",-0.34
#N/A,#N/A,443.350,-0.46,"1,275.16",-0.60
1977.65,#N/A,443.260,-0.02,"1,295.16",1.57
1963.71,-0.70,444.400,0.26,"1,301.59",0.50
1972.83,0.46,444.880,0.11,"1,293.90",-0.59
1964.68,-0.41,446.500,0.36,"1,278.93",-1.16
1967.57,0.15,447.910,0.32,"1,274.02",-0.38
1977.10,0.48,449.170,0.28,"1,275.45",0.11
1973.28,-0.19,449.380,0.05,"1,293.90",1.45
1981.57,0.42,448.800,-0.13,"1,297.98",0.32
1958.12,-1.18,452.260,0.77,"1,295.95",-0.16
1978.22,1.03,451.040,-0.27,"1,289.16",-0.52
1973.63,-0.23,450.840,-0.04,"1,283.09",-0.47
1983.53,0.50,449.870,-0.22,"1,273.60",-0.74
1987.01,0.18,451.740,0.42,"1,262.72",-0.85
1987.98,0.05,449.630,-0.47,"1,274.59",0.94
1978.34,-0.48,445.900,-0.83,"1,272.61",-0.16
1978.91,0.03,446.060,0.04,"1,277.04",0.35
1969.95,-0.45,448.410,0.53,"1,291.00",1.09
1970.07,0.01,445.260,-0.70,"1,287.95",-0.24
1930.67,-2.00,444.380,-0.20,"1,310.36",1.74
1925.15,-0.29,445.480,0.25,"1,318.40",0.61
1938.99,0.72,446.420,0.21,"1,318.61",0.02
1920.21,-0.97,448.380,0.44,"1,321.80",0.24
1920.24,0.00,446.480,-0.42,"1,312.64",-0.69
1909.57,-0.56,446.440,-0.01,"1,309.76",-0.22
1931.59,1.15,445.010,-0.32,"1,315.00",0.40
1936.92,0.28,443.220,-0.40,"1,327.79",0.97
1933.75,-0.16,446.070,0.64,"1,327.55",-0.02
1946.72,0.67,447.680,0.36,"1,324.19",-0.25
1955.18,0.43,445.020,-0.59,"1,326.54",0.18
1955.06,-0.01,448.170,0.71,"1,314.83",-0.88
1971.74,0.85,448.170,0.00,"1,306.49",-0.63
1981.60,0.50,447.600,-0.13,"1,302.91",-0.27
1986.51,0.25,446.320,-0.29,"1,301.58",-0.10
1992.37,0.29,444.890,-0.32,"1,297.80",-0.29
1988.40,-0.20,445.360,0.11,"1,297.87",0.01
1997.92,0.48,446.370,0.23,"1,298.15",0.02
2000.02,0.11,446.760,0.09,"1,297.81",-0.03
2000.12,0.00,446.820,0.01,"1,296.17",-0.13
1996.74,-0.17,446.870,0.01,"1,302.93",0.52
2003.37,0.33,447.600,0.16,"1,305.72",0.21
#N/A,#N/A,448.320,0.16,"1,298.43",-0.56
2002.28,#N/A,451.350,0.68,"1,285.85",-0.97
2000.72,-0.08,451.850,0.11,"1,289.55",0.29
1997.65,-0.15,450.820,-0.23,"1,302.02",0.97
2007.71,0.50,451.770,0.21,"1,302.06",0.00
2001.54,-0.31,451.440,-0.07,"1,308.24",0.47
1988.44,-0.65,451.610,0.04,"1,296.54",-0.89
1995.69,0.36,452.860,0.28,"1,291.10",-0.42
1997.45,0.09,453.960,0.24,"1,293.23",0.16
1985.54,-0.60,454.010,0.01,"1,290.84",-0.18
1984.13,-0.07,455.520,0.33,"1,291.36",0.04
1998.98,0.75,455.880,0.08,"1,289.74",-0.13
2001.57,0.13,454.410,-0.32,"1,293.95",0.33
2011.36,0.49,453.790,-0.14,"1,282.79",-0.86
2010.40,-0.05,452.190,-0.35,"1,270.12",-0.99
1994.29,-0.80,449.530,-0.59,"1,284.01",1.09
1982.77,-0.58,450.210,0.15,"1,281.00",-0.23
1998.30,0.78,451.740,0.34,"1,277.86",-0.25
1965.99,-1.62,451.280,-0.10,"1,288.21",0.81
1982.85,0.86,449.870,-0.31,"1,290.16",0.15
1977.80,-0.25,448.770,-0.24,"1,284.67",-0.43
1972.29,-0.28,449.020,0.06,"1,293.27",0.67
1946.16,-1.32,447.420,-0.36,"1,283.49",-0.76
1946.17,0.00,448.110,0.15,"1,272.76",-0.84
1967.90,1.12,451.340,0.72,"1,270.59",-0.17
1964.82,-0.16,450.080,-0.28,"1,258.90",-0.92
1935.10,-1.51,447.390,-0.60,"1,254.73",-0.33
1968.89,1.75,446.350,-0.23,"1,259.72",0.40
1928.21,-2.07,446.980,0.14,"1,249.57",-0.81
1906.13,-1.15,445.110,-0.42,"1,268.49",1.51
1874.74,-1.65,#N/A,#N/A,"1,261.54",-0.55
1877.70,0.16,444.260,#N/A,"1,257.51",-0.32
1862.49,-0.81,445.210,0.21,"1,270.23",1.01
1862.76,0.01,446.150,0.21,"1,260.37",-0.78
1886.76,1.29,445.050,-0.25,"1,247.19",-1.05
1904.01,0.91,#N/A,#N/A,"1,236.63",-0.85
1941.28,1.96,445.450,#N/A,"1,254.80",1.47
1927.11,-0.73,448.150,0.61,"1,253.94",-0.07
1950.82,1.23,446.990,-0.26,"1,257.71",0.30
1964.58,0.71,446.480,-0.11,"1,259.02",0.10
1961.63,-0.15,446.900,0.09,"1,239.46",-1.55
1985.05,1.19,446.800,-0.02,"1,225.99",-1.09
1982.30,-0.14,449.530,0.61,"1,213.62",-1.01
1994.65,0.62,447.850,-0.37,"1,238.53",2.05
2018.05,1.17,449.860,0.45,"1,233.64",-0.39
2017.81,-0.01,451.060,0.27,"1,234.07",0.03
2012.10,-0.28,451.220,0.04,"1,241.06",0.57
2023.57,0.57,450.060,-0.26,"1,234.99",-0.49
2031.21,0.38,451.070,0.22,"1,228.90",-0.49
2031.92,0.03,452.600,0.34,"1,224.77",-0.34
2038.26,0.31,452.660,0.01,"1,232.94",0.67
2039.68,0.07,451.800,-0.19,"1,232.38",-0.05
2038.25,-0.07,451.900,0.02,"1,217.46",-1.21
2039.33,0.05,451.930,0.01,"1,219.91",0.20
2039.82,0.02,451.500,-0.10,"1,242.82",1.88
2041.32,0.07,453.170,0.37,"1,240.69",-0.17
2051.80,0.51,453.220,0.01,"1,244.59",0.31
2048.72,-0.15,451.840,-0.30,"1,246.82",0.18
2052.75,0.20,452.290,0.10,"1,248.07",0.10
2063.50,0.52,450.450,-0.41,"1,250.68",0.21
2069.41,0.29,452.770,0.52,"1,267.55",1.35
2067.03,-0.12,454.170,0.31,"1,260.21",-0.58
2072.83,0.28,453.500,-0.15,"1,254.62",-0.44
#N/A,#N/A,452.280,-0.27,"1,249.56",-0.40
2067.56,#N/A,450.480,-0.40,"1,254.27",0.38
2053.44,-0.68,450.440,-0.01,"1,238.58",-1.25
2066.55,0.64,451.560,0.25,"1,217.63",-1.69
2074.33,0.38,451.720,0.04,"1,220.70",0.25
2071.92,-0.12,452.480,0.17,"1,213.60",-0.58
2075.37,0.17,450.070,-0.53,"1,202.67",-0.90
2060.31,-0.73,449.060,-0.22,"1,228.15",2.12
2059.82,-0.02,449.640,0.13,"1,242.68",1.18
2026.14,-1.64,449.660,0.00,"1,251.28",0.69
2035.33,0.45,452.730,0.68,"1,268.19",1.35
2002.33,-1.62,452.720,0.00,"1,262.85",-0.42
1989.63,-0.63,454.340,0.36,"1,255.43",-0.59
1972.74,-0.85,455.910,0.35,"1,260.28",0.39
2012.89,2.04,456.120,0.05,"1,247.42",-1.02
2061.23,2.40,455.180,-0.21,"1,247.38",0.00
2070.65,0.46,455.380,0.04,"1,240.21",-0.57
2078.54,0.38,454.940,-0.10,"1,237.29",-0.24
2082.17,0.17,455.640,0.15,"1,235.55",-0.14
2081.88,-0.01,454.290,-0.30,"1,238.94",0.27
#N/A,#N/A,454.300,0.00,"1,235.65",-0.27
2088.77,#N/A,454.510,0.05,"1,234.74",-0.07
2090.57,0.09,453.920,-0.13,"1,207.93",-2.17
2080.35,-0.49,453.770,-0.03,"1,214.91",0.58
2058.90,-1.03,454.800,0.23,"1,212.27",-0.22
#N/A,#N/A,455.060,0.06,"1,206.88",-0.44
2058.20,#N/A,456.560,0.33,"1,204.40",-0.21
2020.58,-1.83,456.670,0.02,"1,221.39",1.41
2002.61,-0.89,456.050,-0.14,"1,235.04",1.12
2025.90,1.16,455.840,-0.05,"1,231.59",-0.28
2062.14,1.79,456.530,0.15,"1,229.30",-0.19
2044.81,-0.84,456.160,-0.08,"1,227.59",-0.14
2028.26,-0.81,452.690,-0.76,"1,215.45",-0.99
2023.03,-0.26,451.300,-0.31,"1,231.49",1.32
2011.27,-0.58,452.500,0.27,"1,233.55",0.17
1992.67,-0.92,452.440,-0.01,"1,227.41",-0.50
2019.42,1.34,452.550,0.02,"1,220.28",-0.58
#N/A,#N/A,453.960,0.31,"1,216.03",-0.35
2022.55,#N/A,453.460,-0.11,"1,217.53",0.12
2032.12,0.47,#N/A,#N/A,"1,205.24",-1.01
2063.15,1.53,449.990,#N/A,"1,200.21",-0.42
2051.82,-0.55,450.600,0.14,"1,202.62",0.20
2057.09,0.26,453.430,0.63,"1,225.67",1.92
2029.55,-1.34,453.070,-0.08,"1,229.74",0.33
2002.16,-1.35,453.270,0.04,"1,218.84",-0.89
2021.25,0.95,454.570,0.29,"1,216.34",-0.21
1994.99,-1.30,455.450,0.19,"1,212.11",-0.35
2020.85,1.30,454.590,-0.19,"1,201.21",-0.90
2050.03,1.44,454.990,0.09,"1,214.30",1.09
2041.51,-0.42,457.230,0.49,"1,206.55",-0.64
2062.52,1.03,456.320,-0.20,"1,207.46",0.08
2055.47,-0.34,456.550,0.05,"1,195.68",-0.98
2046.74,-0.42,458.270,0.38,"1,179.57",-1.35
2068.59,1.07,457.600,-0.15,"1,195.40",1.34
2068.53,0.00,456.470,-0.25,"1,184.00",-0.95
2088.48,0.96,456.820,0.08,"1,196.34",1.04
2096.99,0.41,460.270,0.76,"1,225.45",2.43
#N/A,#N/A,458.010,-0.49,"1,231.32",0.48
2100.34,#N/A,459.370,0.30,"1,225.56",-0.47
2099.68,-0.03,461.220,0.40,"1,227.15",0.13
2097.45,-0.11,460.270,-0.21,"1,213.71",-1.10
2110.30,0.61,462.880,0.57,"1,221.83",0.67
2109.66,-0.03,464.500,0.35,"1,229.65",0.64
2115.48,0.28,468.970,0.96,"1,222.89",-0.55
2113.86,-0.08,466.440,-0.54,"1,224.86",0.16
2110.74,-0.15,463.270,-0.68,"1,226.12",0.10
2104.50,-0.30,463.150,-0.03,"1,218.99",-0.58
2117.39,0.61,462.170,-0.21,"1,217.06",-0.16
2107.78,-0.45,462.580,0.09,"1,222.88",0.48
2098.53,-0.44,466.170,0.78,"1,214.64",-0.67
2101.04,0.12,466.160,0.00,"1,218.51",0.32
2071.26,-1.42,467.950,0.38,"1,206.24",-1.01
2079.43,0.39,467.340,-0.13,"1,205.85",-0.03
2044.16,-1.70,468.300,0.21,"1,213.31",0.62
2040.24,-0.19,469.690,0.30,"1,191.26",-1.82
2065.95,1.26,469.110,-0.12,"1,186.96",-0.36
2053.40,-0.61,470.360,0.27,"1,192.16",0.44
2081.19,1.35,467.620,-0.58,"1,199.78",0.64
2074.28,-0.33,464.600,-0.65,"1,206.83",0.59
2099.50,1.22,465.370,0.17,"1,204.91",-0.16
2089.27,-0.49,465.470,0.02,"1,200.84",-0.34
2108.10,0.90,466.590,0.24,"1,195.23",-0.47
2104.42,-0.17,465.500,-0.23,"1,179.30",-1.33
2091.50,-0.61,464.140,-0.29,"1,178.30",-0.08
2061.05,-1.46,468.980,1.04,"1,181.11",0.24
2056.15,-0.24,469.180,0.04,"1,187.56",0.55
2061.02,0.24,469.230,0.01,"1,183.83",-0.31
2086.24,1.22,468.260,-0.21,"1,178.62",-0.44
2067.89,-0.88,465.130,-0.67,"1,184.92",0.53
2059.69,-0.40,468.400,0.70,"1,182.76",-0.18
2066.96,0.35,467.180,-0.26,"1,189.46",0.57
#N/A,#N/A,466.120,-0.23,"1,193.34",0.33
2080.62,#N/A,467.000,0.19,"1,201.89",0.72
2076.33,-0.21,468.690,0.36,"1,194.30",-0.63
2081.90,0.27,467.950,-0.16,"1,192.90",-0.12
2091.18,0.45,467.730,-0.05,"1,201.46",0.72
2102.06,0.52,469.880,0.46,"1,199.97",-0.12
2092.43,-0.46,471.140,0.27,"1,194.34",-0.47
2095.84,0.16,470.900,-0.05,"1,191.10",-0.27
2106.63,0.51,471.970,0.23,"1,185.90",-0.44
2104.99,-0.08,473.910,0.41,"1,197.03",0.94
2081.18,-1.13,475.640,0.37,"1,193.38",-0.30
2100.40,0.92,475.940,0.06,"1,192.82",-0.05
2097.29,-0.15,476.580,0.13,"1,181.40",-0.96
2107.96,0.51,475.010,-0.33,"1,187.56",0.52
2112.93,0.24,475.170,0.03,"1,182.11",-0.46
2117.69,0.23,476.410,0.26,"1,171.49",-0.90
2108.92,-0.41,475.290,-0.24,"1,179.88",0.72
2114.76,0.28,474.600,-0.15,"1,169.94",-0.84
2106.85,-0.37,473.650,-0.20,"1,160.39",-0.82
2085.51,-1.01,474.520,0.18,"1,150.35",-0.87
2108.29,1.09,472.930,-0.34,"1,138.15",-1.06
2114.49,0.29,474.800,0.40,"1,124.19",-1.23
2089.46,-1.18,476.810,0.42,"1,122.24",-0.17
2080.15,-0.45,478.210,0.29,"1,122.35",0.01
2088.00,0.38,477.520,-0.14,"1,125.76",0.30
2116.10,1.35,478.590,0.22,"1,122.83",-0.26
2105.33,-0.51,479.900,0.27,"1,117.81",-0.45
2099.12,-0.29,478.910,-0.21,"1,109.48",-0.75
2098.48,-0.03,477.440,-0.31,"1,098.18",-1.02
2121.10,1.08,477.520,0.02,"1,102.91",0.43
2122.73,0.08,476.090,-0.30,"1,099.87",-0.28
2129.20,0.30,477.840,0.37,"1,084.48",-1.40
2127.83,-0.06,477.860,0.00,"1,085.33",0.08
2125.85,-0.09,480.110,0.47,"1,060.73",-2.27
2130.82,0.23,480.110,0.00,"1,051.07",-0.91
2126.06,-0.22,478.720,-0.29,"1,038.51",-1.19
#N/A,#N/A,480.460,0.36,"1,031.86",-0.64
2104.20,#N/A,479.430,-0.21,"1,057.28",2.46
2123.48,0.92,480.360,0.19,"1,056.09",-0.11
2120.79,-0.13,482.230,0.39,"1,055.74",-0.03
2107.39,-0.63,482.030,-0.04,"1,055.44",-0.03
2111.73,0.21,482.820,0.16,"1,020.47",-3.31
2109.60,-0.10,484.620,0.37,"1,063.67",4.23
2114.07,0.21,484.370,-0.05,"1,076.50",1.21
2095.84,-0.86,485.490,0.23,"1,091.62",1.40
2092.83,-0.14,488.710,0.66,"1,105.50",1.27
2079.28,-0.65,487.050,-0.34,"1,094.93",-0.96
2080.15,0.04,487.580,0.11,"1,138.84",4.01
2105.20,1.20,489.430,0.38,"1,140.39",0.14
2108.86,0.17,488.850,-0.12,"1,133.42",-0.61
2094.11,-0.70,488.850,0.00,"1,155.71",1.97
2084.43,-0.46,491.590,0.56,"1,155.50",-0.02
2096.29,0.57,490.790,-0.16,"1,163.94",0.73
2100.44,0.20,491.770,0.20,"1,178.11",1.22
2121.24,0.99,488.270,-0.71,"1,148.73",-2.49
2109.99,-0.53,490.210,0.40,"1,167.28",1.61
2122.85,0.61,492.280,0.42,"1,159.47",-0.67
2124.20,0.06,489.050,-0.66,"1,148.68",-0.93
2108.58,-0.74,488.140,-0.19,"1,148.79",0.01
2102.31,-0.30,486.610,-0.31,"1,138.06",-0.93
2101.49,-0.04,486.780,0.03,"1,133.65",-0.39
2057.64,-2.09,489.500,0.56,"1,132.69",-0.08
2063.11,0.27,488.090,-0.29,"1,134.81",0.19
2077.42,0.69,485.150,-0.60,"1,134.60",-0.02
2076.78,-0.03,484.310,-0.17,"1,142.49",0.70
#N/A,#N/A,486.090,0.37,"1,141.81",-0.06
2068.76,#N/A,487.920,0.38,"1,128.69",-1.15
2081.34,0.61,486.520,-0.29,"1,139.18",0.93
2046.68,-1.67,485.670,-0.17,"1,142.82",0.32
2051.31,0.23,486.040,0.08,"1,142.99",0.01
2076.62,1.23,487.390,0.28,"1,142.18",-0.07
2099.60,1.11,489.450,0.42,"1,141.72",-0.04
2108.95,0.45,490.650,0.25,"1,140.55",-0.10
2107.40,-0.07,490.600,-0.01,"1,126.30",-1.25
2124.29,0.80,489.160,-0.29,"1,121.02",-0.47
2126.64,0.11,491.910,0.56,"1,103.35",-1.58
2128.28,0.08,493.210,0.26,"1,115.83",1.13
2119.21,-0.43,492.020,-0.24,"1,110.76",-0.45
2114.15,-0.24,491.760,-0.05,"1,124.86",1.27
2102.15,-0.57,491.160,-0.12,"1,115.55",-0.83
2079.65,-1.07,491.940,0.16,"1,102.35",-1.18
2067.64,-0.58,492.570,0.13,"1,127.17",2.25
2093.25,1.24,494.450,0.38,"1,112.27",-1.32
2108.57,0.73,494.120,-0.07,"1,101.26",-0.99
2108.63,0.00,494.270,0.03,"1,095.81",-0.49
2103.84,-0.23,494.420,0.03,"1,111.14",1.40
2098.04,-0.28,493.260,-0.23,"1,103.50",-0.69
2093.32,-0.22,492.740,-0.11,"1,105.29",0.16
2099.84,0.31,491.340,-0.28,"1,107.85",0.23
2083.56,-0.78,489.320,-0.41,"1,086.44",-1.93
2077.57,-0.29,491.660,0.48,"1,080.09",-0.58
2104.18,1.28,492.320,0.13,"1,083.69",0.33
2084.07,-0.96,492.470,0.03,"1,115.22",2.91
2086.05,0.10,491.290,-0.24,"1,131.16",1.43
2083.39,-0.13,491.050,-0.05,"1,128.42",-0.24
2091.54,0.39,491.540,0.10,"1,111.18",-1.53
2102.44,0.52,489.090,-0.50,"1,110.76",-0.04
2096.92,-0.26,487.760,-0.27,"1,121.25",0.94
2079.61,-0.83,488.730,0.20,"1,132.33",0.99
2035.73,-2.11,490.430,0.35,"1,135.65",0.29
1970.89,-3.19,490.490,0.01,"1,146.51",0.96
1893.21,-3.94,490.320,-0.03,"1,129.55",-1.48
1867.61,-1.35,491.740,0.29,"1,127.50",-0.18
1940.51,3.90,490.670,-0.22,"1,141.93",1.28
1987.66,2.43,493.020,0.48,"1,140.47",-0.13
1988.87,0.06,491.570,-0.29,"1,163.56",2.02
1972.18,-0.84,490.910,-0.13,"1,163.06",-0.04
1913.85,-2.96,487.940,-0.60,"1,152.35",-0.92
1948.86,1.83,489.000,0.22,"1,167.74",1.34
1951.13,0.12,489.050,0.01,"1,174.89",0.61
1921.22,-1.53,486.350,-0.55,"1,169.06",-0.50
#N/A,#N/A,482.640,-0.76,"1,178.29",0.79
1969.41,#N/A,484.560,0.40,"1,172.90",-0.46
1942.04,-1.39,484.580,0.00,"1,173.49",0.05
1952.29,0.53,483.900,-0.14,"1,174.38",0.08
1961.05,0.45,484.580,0.14,"1,168.91",-0.47
1953.03,-0.41,486.420,0.38,"1,181.82",1.10
1978.09,1.28,487.630,0.25,"1,178.93",-0.24
1995.31,0.87,483.850,-0.78,"1,170.81",-0.69
1990.20,-0.26,483.900,0.01,"1,184.01",1.13
1958.03,-1.62,485.530,0.34,"1,180.34",-0.31
1966.97,0.46,486.360,0.17,"1,185.67",0.45
1942.74,-1.23,487.410,0.22,"1,186.54",0.07
1938.76,-0.20,483.280,-0.85,"1,171.97",-1.23
1932.24,-0.34,482.250,-0.21,"1,175.02",0.26
1931.34,-0.05,482.490,0.05,"1,168.85",-0.53
1881.77,-2.57,484.720,0.46,"1,170.37",0.13
1884.09,0.12,479.610,-1.05,"1,176.56",0.53
1920.03,1.91,477.990,-0.34,"1,184.18",0.65
1923.82,0.20,478.460,0.10,"1,183.95",-0.02
1951.36,1.43,477.730,-0.15,"1,172.88",-0.94
1987.05,1.83,478.850,0.23,"1,164.93",-0.68
1979.92,-0.36,475.020,-0.80,"1,154.82",-0.87
1995.83,0.80,473.880,-0.24,"1,148.93",-0.51
2013.43,0.88,474.640,0.16,"1,149.15",0.02
2014.89,0.07,478.640,0.84,"1,159.55",0.91
2017.46,0.13,478.090,-0.11,"1,159.69",0.01
2003.69,-0.68,478.580,0.10,"1,164.17",0.39
1994.24,-0.47,477.930,-0.14,"1,166.75",0.22
2023.86,1.49,476.690,-0.26,"1,167.57",0.07
2033.11,0.46,476.740,0.01,"1,155.50",-1.03
2033.66,0.03,477.920,0.25,"1,158.23",0.24
2030.77,-0.14,474.980,-0.62,"1,152.11",-0.53
2018.94,-0.58,478.720,0.79,"1,132.69",-1.69
2052.51,1.66,478.050,-0.14,"1,131.03",-0.15
2075.15,1.10,480.190,0.45,"1,143.94",1.14
2071.18,-0.19,479.310,-0.18,"1,141.26",-0.23
2065.89,-0.26,479.050,-0.05,"1,132.83",-0.74
2090.35,1.18,475.530,-0.73,"1,139.24",0.57
2089.41,-0.04,477.060,0.32,"1,140.13",0.08
2079.36,-0.48,479.210,0.45,"1,150.48",0.91
2104.05,1.19,480.000,0.16,"1,136.15",-1.25
2109.79,0.27,479.660,-0.07,"1,139.82",0.32
2102.31,-0.35,479.130,-0.11,"1,150.11",0.90
2099.93,-0.11,480.350,0.25,"1,156.55",0.56
2099.20,-0.03,479.740,-0.13,"1,159.62",0.27
2078.58,-0.98,479.890,0.03,"1,157.22",-0.21
