net balance,SP,BofA,MCSI
-10.92,0.33,0.80,-0.04
-0.44,0.29,-0.06,-2.57
-11.65,0.03,-0.41,2.16
9.34,0.65,-0.65,-0.03
-4.89,0.04,-0.01,-0.22
0.83,-0.63,0.34,-0.86
-5.73,-0.41,0.21,1.53
-4.05,1.19,-0.86,-1.02
-6.34,1.15,0.76,-1.84
-0.54,-0.76,-0.26,0.26
10.88,0.55,0.54,-0.10
3.20,-0.94,0.41,-0.77
7.62,-0.24,-0.40,-0.40
-3.68,#N/A,0.60,-0.40
4.27,#N/A,0.15,0.57
-0.50,-0.12,#N/A,0.41
-0.67,-1.10,#N/A,0.72
-1.86,1.69,0.05,-0.77
0.00,#N/A,0.14,0.41
1.00,#N/A,-0.16,0.10
0.00,-0.21,0.23,0.58
-3.74,0.49,0.29,-2.15
-3.89,-0.31,-0.64,1.77
-8.09,-0.32,-0.19,0.21
0.00,0.27,0.12,0.76
-17.61,0.76,0.71,1.34
7.89,0.00,-0.27,-0.31
2.93,-0.09,0.07,0.33
1.81,0.11,0.57,-0.79
-7.09,0.02,-0.47,-0.20
-10.17,0.56,0.14,-0.95
-5.66,0.34,-0.09,-1.33
-6.00,#N/A,-0.34,0.05
-6.39,#N/A,-0.78,0.30
4.38,0.15,-0.24,-1.24
-6.54,0.00,0.13,-1.89
-11.89,0.54,0.27,-0.79
6.25,-0.18,-0.07,0.43
14.96,0.51,-0.05,-0.37
-11.05,-0.39,-0.53,-0.02
4.31,-0.26,-0.19,-1.19
-3.50,1.01,0.28,0.10
-7.26,-1.15,0.19,-1.02
0.00,1.04,0.41,0.39
6.59,0.05,0.03,-0.13
9.80,-0.18,-0.33,-0.02
0.00,0.57,0.00,-1.16
-6.69,-0.06,-0.20,-1.40
-10.75,0.16,0.16,2.53
24.87,0.06,0.37,1.35
2.60,0.07,0.16,0.10
2.53,-0.10,0.04,-1.19
-2.76,#N/A,-0.77,-1.00
-1.49,#N/A,-0.20,1.95
-9.57,-1.24,0.49,0.45
-14.11,-0.63,0.10,0.34
1.59,0.88,0.12,-0.38
-12.86,-1.83,0.27,-0.86
10.61,0.61,-0.25,0.31
-27.70,1.27,-0.73,-0.06
-5.80,-0.09,0.47,-0.37
4.68,0.23,0.04,-0.34
-2.25,0.46,-0.53,0.63
19.45,0.96,-0.42,-0.75
2.86,0.11,-0.30,-0.93
40.65,0.18,0.23,-0.36
1.49,0.45,0.00,-0.15
-13.73,0.32,0.45,-1.70
11.01,-0.24,0.44,0.85
3.50,0.13,-0.28,-0.76
13.85,0.56,-0.31,-0.45
14.51,-0.16,0.51,0.08
-9.13,-0.55,-0.41,0.38
