net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
,1419.04,,400.47,,1531.75,
-50,1413.38,-0.3988612019,402.15,0.4195070792,1501.75,-1.958544149
83.57142857,1398.96,-1.020249331,402.21,0.01491980604,1523.86,1.472282337
-27.23735409,1398.08,-0.06290387145,402.96,0.1864697546,1537.79,0.9141259696
-74.86631016,#N/A,#N/A,402.02,-0.2332737741,1491.91,-2.983502299
223.6895737,1382.2,#N/A,402.08,0.01492463062,1476.35,-1.042958355
-46.01203818,1358.59,-1.708146433,400.15,-0.4800039793,1458.91,-1.181291699
113.4903605,1368.71,0.7448899226,399.31,-0.2099212795,1450.24,-0.5942792907
49.30609805,1387.57,1.377939812,400.22,0.2278931156,1465.61,1.059824581
84.17320904,1370.26,-1.24750463,402.47,0.5621907951,1459.78,-0.3977865872
-29.03502895,1369.57,-0.050355407,401.73,-0.1838646359,1469.13,0.6405074737
-40.91459282,1390.78,1.548661259,400.94,-0.196649491,1463.55,-0.3798166262
-34.62326383,1385.14,-0.4055278333,401.22,0.06983588567,1446.14,-1.189573298
-105.9192179,1376.92,-0.5934418182,402.76,0.3838293206,1431.61,-1.004743662
-894.7061844,1378.53,0.1169276356,401.9,-0.213526666,1421.27,-0.722263745
-179.8935602,1366.94,-0.8407506547,403.2,0.3234635481,1434.93,0.9611122447
23.28700457,1371.97,0.3679751855,402.84,-0.08928571429,1449.05,0.9840201264
-41.89129382,1390.69,1.364461322,403.95,0.2755436402,1445.92,-0.2160035886
43.60395687,1399.98,0.6680137198,403.92,-0.007426661716,1425.85,-1.388043599
-52.35032606,1403.36,0.2414320205,404.4,0.118835413,1429.24,0.2377529193
-34.36180769,1397.91,-0.3883536655,405.1,0.1730959446,1457.86,2.002462847
56.62833896,1405.82,0.5658447253,407.43,0.5751666255,1447.93,-0.6811353628
-117.9299476,1402.31,-0.2496763455,406.49,-0.2307144786,1435.48,-0.8598481971
18.31974056,1391.57,-0.7658791565,406.27,-0.05412187262,1407.97,-1.916432134
56.98136245,1369.1,-1.614722939,406.99,0.1772220445,1417.87,0.7031399817
264.9147705,1369.58,0.03505952816,407.23,0.05896950785,1441.72,1.682100616
-65.3690113,1363.72,-0.4278683976,407.18,-0.01227807382,1404.48,-2.58302583
490.1785185,1354.58,-0.6702255595,407.91,0.1792818901,1384.27,-1.438966735
18.59306063,1357.99,0.2517385463,407.33,-0.1421882278,1404.1,1.432524002
-19.26354957,1353.39,-0.3387359259,407.05,-0.06874033339,1411.5,0.5270279895
-23.85979253,1338.35,-1.111283518,404.79,-0.5552143471,1420.27,0.6213248317
24.52976352,1330.66,-0.5745881122,406.14,0.3335062625,1430.59,0.7266224028
21.20042819,1324.8,-0.4403829679,406.54,0.09848820604,1421.73,-0.6193248939
49.28787521,1304.86,-1.50513285,406.78,0.05903478133,1410.27,-0.8060602224
50.56220877,1295.22,-0.7387765737,407.62,0.2064998279,1424.13,0.9827905295
14.95754799,1315.99,1.60358858,408.2,0.1422893872,1432.73,0.603877455
-16.07042192,1316.63,0.04863258839,410.21,0.4924056835,1467.99,2.461035924
5.404821329,1318.86,0.1693718053,408.72,-0.3632285902,1433.15,-2.37331317
-9.082842161,1320.68,0.1379979679,409.81,0.26668624,1441.99,0.616823082
17.98243179,1317.82,-0.216555108,410.83,0.2488958298,1445.78,0.2628312263
4.786733025,#N/A,#N/A,409.94,-0.2166346177,1460.95,1.049260607
-8.080761197,1332.42,#N/A,409.94,0,1478.81,1.222492214
18.61655993,1313.32,-1.433481935,409.46,-0.1170903059,1458.17,-1.395716826
24.77526715,1310.33,-0.227667286,410.44,0.239339618,1466.44,0.567149235
5.787441479,1278.04,-2.464264727,412.02,0.3849527337,1449.57,-1.150405063
-11.22969349,1278.18,0.01095427373,411.44,-0.1407698655,1408.22,-2.852570073
-6.325140651,1285.5,0.5726892926,412.32,0.2138829477,1429.77,1.530300663
4.892919281,1315.13,2.304939712,411.81,-0.1236903376,1447.99,1.274330836
9.195182329,1314.99,-0.01064533544,411.94,0.0315679561,1451.19,0.2209960014
