net balance,S&P 500,SP,BofA AAA US ,BofA,MCSI REIT Index,MCSI
,"1,419.04",,400.47,,"1,531.75",
0.00,"1,413.38",-0.40,402.15,0.42,"1,501.75",-1.96
0.00,"1,398.96",-1.02,402.21,0.01,"1,523.86",1.47
0.00,"1,398.08",-0.06,402.96,0.19,"1,537.79",0.91
0.00,#N/A,#N/A,402.02,-0.23,"1,491.91",-2.98
0.00,"1,382.20",#N/A,402.08,0.01,"1,476.35",-1.04
0.00,"1,358.59",-1.71,400.15,-0.48,"1,458.91",-1.18
0.00,"1,368.71",0.74,399.31,-0.21,"1,450.24",-0.59
0.00,"1,387.57",1.38,400.22,0.23,"1,465.61",1.06
0.00,"1,370.26",-1.25,402.47,0.56,"1,459.78",-0.40
0.00,"1,369.57",-0.05,401.73,-0.18,"1,469.13",0.64
0.00,"1,390.78",1.55,400.94,-0.20,"1,463.55",-0.38
0.00,"1,385.14",-0.41,401.22,0.07,"1,446.14",-1.19
0.00,"1,376.92",-0.59,402.76,0.38,"1,431.61",-1.00
0.00,"1,378.53",0.12,401.90,-0.21,"1,421.27",-0.72
0.00,"1,366.94",-0.84,403.20,0.32,"1,434.93",0.96
0.00,"1,371.97",0.37,402.84,-0.09,"1,449.05",0.98
0.00,"1,390.69",1.36,403.95,0.28,"1,445.92",-0.22
0.00,"1,399.98",0.67,403.92,-0.01,"1,425.85",-1.39
0.00,"1,403.36",0.24,404.40,0.12,"1,429.24",0.24
0.00,"1,397.91",-0.39,405.10,0.17,"1,457.86",2.00
-50.00,"1,405.82",0.57,407.43,0.58,"1,447.93",-0.68
0.00,"1,402.31",-0.25,406.49,-0.23,"1,435.48",-0.86
33.57,"1,391.57",-0.77,406.27,-0.05,"1,407.97",-1.92
-18.64,"1,369.10",-1.61,406.99,0.18,"1,417.87",0.70
72.09,"1,369.58",0.04,407.23,0.06,"1,441.72",1.68
-22.78,"1,363.72",-0.43,407.18,-0.01,"1,404.48",-2.58
-158.72,"1,354.58",-0.67,407.91,0.18,"1,384.27",-1.44
-117.93,"1,357.99",0.25,407.33,-0.14,"1,404.10",1.43
64.86,"1,353.39",-0.34,407.05,-0.07,"1,411.50",0.53
406.00,"1,338.35",-1.11,404.79,-0.56,"1,420.27",0.62
172.42,"1,330.66",-0.57,406.14,0.33,"1,430.59",0.73
14.31,"1,324.80",-0.44,406.54,0.10,"1,421.73",-0.62
36.04,"1,304.86",-1.51,406.78,0.06,"1,410.27",-0.81
19.32,"1,295.22",-0.74,407.62,0.21,"1,424.13",0.98
-9.96,"1,315.99",1.60,408.20,0.14,"1,432.73",0.60
-12.92,"1,316.63",0.05,410.21,0.49,"1,467.99",2.46
9.68,"1,318.86",0.17,408.72,-0.36,"1,433.15",-2.37
25.22,"1,320.68",0.14,409.81,0.27,"1,441.99",0.62
-0.73,"1,317.82",-0.22,410.83,0.25,"1,445.78",0.26
9.35,#N/A,#N/A,409.94,-0.22,"1,460.95",1.05
-10.16,"1,332.42",#N/A,409.94,0.00,"1,478.81",1.22
2.95,"1,313.32",-1.43,409.46,-0.12,"1,458.17",-1.40
-12.59,"1,310.33",-0.23,410.44,0.24,"1,466.44",0.57
6.33,"1,278.04",-2.46,412.02,0.38,"1,449.57",-1.15
-6.60,"1,278.18",0.01,411.44,-0.14,"1,408.22",-2.85
-27.63,"1,285.50",0.57,412.32,0.21,"1,429.77",1.53
19.23,"1,315.13",2.30,411.81,-0.12,"1,447.99",1.27
48.78,"1,314.99",-0.01,411.94,0.03,"1,451.19",0.22
-8.26,"1,325.66",0.81,411.73,-0.05,"1,454.40",0.22
14.06,"1,308.93",-1.26,413.75,0.49,"1,457.84",0.24
12.76,"1,324.18",1.17,412.31,-0.35,"1,477.74",1.37
18.41,"1,314.88",-0.70,415.04,0.66,"1,499.31",1.46
-2.96,"1,329.10",1.08,415.84,0.19,"1,513.51",0.95
29.10,"1,342.84",1.03,414.90,-0.23,"1,524.37",0.72
22.20,"1,344.78",0.14,414.00,-0.22,"1,523.38",-0.06
-1.93,"1,357.98",0.98,412.45,-0.37,"1,520.76",-0.17
-3.94,"1,355.69",-0.17,412.94,0.12,"1,518.80",-0.13
0.00,"1,325.51",-2.23,413.01,0.02,"1,525.35",0.43
2.84,"1,335.02",0.72,413.19,0.04,"1,538.59",0.87
-1.25,"1,313.72",-1.60,412.28,-0.22,"1,537.74",-0.06
-0.02,"1,319.99",0.48,409.81,-0.60,"1,571.49",2.19
-7.50,"1,331.85",0.90,411.26,0.35,"1,567.66",-0.24
1.70,"1,329.04",-0.21,411.58,0.08,"1,577.23",0.61
-6.85,"1,362.16",2.49,412.12,0.13,"1,575.43",-0.11
-0.85,"1,365.51",0.25,412.14,0.00,"1,572.03",-0.22
-11.94,"1,374.02",0.62,413.31,0.28,"1,560.56",-0.73
-8.43,#N/A,#N/A,413.39,0.02,"1,555.57",-0.32
-0.61,"1,367.58",#N/A,413.51,0.03,"1,530.97",-1.58
1.81,"1,354.68",-0.94,414.00,0.12,"1,533.79",0.18
1.46,"1,352.46",-0.16,414.63,0.15,"1,519.96",-0.90
16.81,"1,341.47",-0.81,414.62,0.00,"1,499.15",-1.37
4.38,"1,341.45",0.00,415.22,0.14,"1,512.03",0.86
-6.81,"1,334.76",-0.50,412.98,-0.54,"1,514.20",0.14
12.17,"1,356.78",1.65,413.16,0.04,"1,517.82",0.24
3.52,"1,353.64",-0.23,412.96,-0.05,"1,495.95",-1.44
-18.31,"1,363.67",0.74,413.23,0.07,"1,516.58",1.38
-6.70,"1,372.78",0.67,413.03,-0.05,"1,503.73",-0.85
-2.79,"1,376.51",0.27,412.53,-0.12,"1,502.80",-0.06
-7.75,"1,362.66",-1.01,412.96,0.10,"1,525.48",1.51
-12.03,"1,350.52",-0.89,413.44,0.12,"1,512.23",-0.87
13.58,"1,338.31",-0.90,415.68,0.54,"1,495.14",-1.13
10.07,"1,337.89",-0.03,416.59,0.22,"1,467.82",-1.83
-0.73,"1,360.02",1.65,418.64,0.49,"1,474.57",0.46
8.39,"1,385.97",1.91,418.77,0.03,"1,433.70",-2.77
-6.39,"1,385.30",-0.05,418.81,0.01,"1,457.38",1.65
-4.03,"1,379.32",-0.43,420.54,0.41,"1,487.32",2.05
1.79,"1,375.14",-0.30,420.07,-0.11,"1,473.01",-0.96
14.62,"1,365.00",-0.74,419.48,-0.14,"1,519.99",3.19
11.91,"1,390.99",1.90,419.71,0.05,"1,502.10",-1.18
9.80,"1,394.23",0.23,419.55,-0.04,"1,491.76",-0.69
3.23,"1,401.35",0.51,417.56,-0.47,"1,497.34",0.37
-0.09,"1,402.22",0.06,419.97,0.58,"1,509.92",0.84
-3.18,"1,402.80",0.04,421.53,0.37,"1,507.57",-0.16
5.07,"1,405.87",0.22,421.13,-0.09,"1,500.18",-0.49
-6.88,"1,404.11",-0.13,420.57,-0.13,"1,511.66",0.77
-2.09,"1,403.93",-0.01,421.16,0.14,"1,494.08",-1.16
-0.34,"1,405.53",0.11,422.22,0.25,"1,495.60",0.10
-8.33,"1,415.51",0.71,423.22,0.24,"1,491.26",-0.29
-1.67,"1,418.16",0.19,423.40,0.04,"1,493.60",0.16
-6.69,"1,418.13",0.00,422.12,-0.30,"1,490.79",-0.19
10.92,"1,413.17",-0.35,422.04,-0.02,"1,494.48",0.25
2.26,"1,413.49",0.02,424.60,0.61,"1,482.72",-0.79
2.15,"1,402.08",-0.81,424.58,0.00,"1,501.64",1.28
0.00,"1,411.13",0.65,426.47,0.45,"1,490.21",-0.76
0.46,"1,410.44",-0.05,427.09,0.15,"1,479.24",-0.74
14.83,"1,409.30",-0.08,427.83,0.17,"1,470.30",-0.60
8.88,"1,410.49",0.08,427.89,0.01,"1,486.67",1.11
6.70,"1,399.48",-0.78,427.85,-0.01,"1,464.44",-1.50
-4.56,"1,406.58",0.51,431.70,0.90,"1,474.97",0.72
-4.84,#N/A,#N/A,429.57,-0.49,"1,470.86",-0.28
2.31,"1,404.94",#N/A,427.44,-0.50,"1,466.74",-0.28
4.91,"1,403.44",-0.11,428.52,0.25,"1,463.41",-0.23
3.46,"1,432.12",2.04,428.14,-0.09,"1,464.42",0.07
-0.70,"1,437.92",0.40,430.21,0.48,"1,440.83",-1.61
-1.59,"1,429.08",-0.61,429.98,-0.05,"1,445.69",0.34
-0.46,"1,433.56",0.31,429.52,-0.11,"1,439.34",-0.44
6.95,"1,436.56",0.21,427.33,-0.51,"1,438.62",-0.05
0.73,"1,459.99",1.63,424.61,-0.64,"1,421.20",-1.21
-6.23,"1,465.77",0.40,424.12,-0.12,"1,408.07",-0.92
0.00,"1,461.19",-0.31,427.72,0.85,"1,388.74",-1.37
2.04,"1,459.32",-0.13,426.05,-0.39,"1,384.75",-0.29
-4.32,"1,461.05",0.12,424.11,-0.46,"1,396.23",0.83
1.64,"1,460.26",-0.05,422.63,-0.35,"1,391.62",-0.33
15.65,"1,460.15",-0.01,423.73,0.26,"1,376.15",-1.11
0.55,"1,456.89",-0.22,425.54,0.43,"1,388.74",0.91
-1.43,"1,441.59",-1.05,426.65,0.26,"1,386.52",-0.16
-0.97,"1,433.32",-0.57,427.64,0.23,"1,365.99",-1.48
0.00,"1,447.15",0.96,424.52,-0.73,"1,389.59",1.73
9.71,"1,440.67",-0.45,423.70,-0.19,"1,380.89",-0.63
0.63,"1,444.49",0.27,#N/A,#N/A,"1,385.06",0.30
9.43,"1,445.75",0.09,422.18,#N/A,"1,402.90",1.29
-1.91,"1,450.99",0.36,424.01,0.43,"1,418.50",1.11
5.30,"1,461.40",0.72,426.30,0.54,"1,420.14",0.12
-11.77,"1,460.93",-0.03,427.84,0.36,"1,406.86",-0.94
1.04,"1,455.88",-0.35,#N/A,#N/A,"1,407.45",0.04
8.21,"1,441.48",-0.99,431.18,#N/A,"1,413.05",0.40
-2.14,"1,432.56",-0.62,431.21,0.01,"1,428.76",1.11
4.29,"1,432.84",0.02,432.11,0.21,"1,427.64",-0.08
-4.78,"1,428.59",-0.30,432.77,0.15,"1,423.29",-0.30
-2.92,"1,440.13",0.81,430.52,-0.52,"1,429.90",0.46
2.67,"1,454.92",1.03,431.35,0.19,"1,419.59",-0.72
0.00,"1,460.91",0.41,429.00,-0.54,"1,439.63",1.41
-1.39,"1,457.34",-0.24,430.70,0.40,"1,472.05",2.25
-0.41,"1,433.19",-1.66,431.44,0.17,"1,464.17",-0.54
0.61,"1,433.82",0.04,433.23,0.41,"1,481.37",1.17
