good_date,net balance,SP,BofA,MCSI
2008-02-15,9.43,0.09,#N/A,1.29
2008-02-16,-1.91,0.36,0.43,1.11
2008-02-17,5.3,0.72,0.54,0.12
2008-02-18,-11.77,-0.03,0.36,-0.94
2008-02-19,1.04,-0.35,#N/A,0.04
2008-02-20,8.21,-0.99,#N/A,0.4
2008-02-21,-2.14,-0.62,0.01,1.11
2008-02-22,4.29,0.02,0.21,-0.08
2008-02-23,-4.78,-0.3,0.15,-0.3
2008-02-24,-2.92,0.81,-0.52,0.46
2008-02-25,2.67,1.03,0.19,-0.72
2008-02-26,0,0.41,-0.54,1.41
2008-02-27,-1.39,-0.24,0.4,2.25
2008-02-28,-0.41,-1.66,0.17,-0.54
2008-02-29,0.61,0.04,0.41,1.17
2008-03-01,-0.64,-1.44,-0.13,0.06
2008-03-02,2.35,-0.31,0.26,-0.55
2008-03-03,0,0.3,-0.09,-1.45
2008-03-04,5.35,-0.07,0.04,-0.58
2008-03-05,4.46,#N/A,0.57,-0.88
2008-03-06,1.59,#N/A,0.45,-1.04
2008-03-07,-4.63,#N/A,-1.01,-0.08
2008-03-08,2.97,1.09,0.36,-0.04
2008-03-09,-5.54,-0.94,0.03,0.29
2008-03-10,1.26,0.22,-0.35,0.25
2008-03-11,-3.58,0.79,-0.36,-0.49
2008-03-12,-6.38,-2.37,0.56,-0.27
2008-03-13,-6.61,-1.22,0.39,0.86
2008-03-14,3.28,0.17,-0.24,0.25
2008-03-15,-1.54,0.01,0.45,0.05
2008-03-16,12.55,-0.4,-0.12,-0.58
2008-03-17,3.28,-1.39,-0.62,-0.1
2008-03-18,1.12,-0.16,0.34,-0.6
2008-03-19,-1.74,0.48,0.2,1.04
2008-03-20,-7.47,1.99,-0.39,0.53
2008-03-21,-4.78,0.07,0.01,0.23
2008-03-22,6.42,0.23,-0.61,-1.47
2008-03-23,-10.79,#N/A,0.16,0.66
2008-03-24,-3.46,#N/A,0.04,-0.11
2008-03-25,-1.13,-0.2,-0.54,0.38
2008-03-26,9.51,-0.52,-0.17,-0.24
2008-03-27,-1.81,0.79,0.71,0.13
2008-03-28,-8.03,0.43,-0.07,0.39
2008-03-29,4.19,0.02,-0.61,-0.51
2008-03-30,0.35,-0.47,0.25,0.01
2008-03-31,-10.22,-0.17,0.07,-0.81
2008-04-01,3.62,0.16,0.6,0.82
2008-04-02,-10.92,0.33,0.8,-0.04
2008-04-03,-0.44,0.29,-0.06,-2.57
2008-04-04,-11.65,0.03,-0.41,2.16
2008-04-05,9.34,0.65,-0.65,-0.03
2008-04-06,-4.89,0.04,-0.01,-0.22
2008-04-09,0.83,-0.63,0.34,-0.86
2008-04-10,-5.73,-0.41,0.21,1.53
2008-04-11,-4.05,1.19,-0.86,-1.02
2008-04-12,-6.34,1.15,0.76,-1.84
2008-04-13,-0.54,-0.76,-0.26,0.26
2008-04-14,10.88,0.55,0.54,-0.1
2008-04-15,3.2,-0.94,0.41,-0.77
2008-04-16,7.62,-0.24,-0.4,-0.4
2008-04-17,-3.68,#N/A,0.6,-0.4
2008-04-18,4.27,#N/A,0.15,0.57
2008-04-19,-0.5,-0.12,#N/A,0.41
2008-04-20,-0.67,-1.1,#N/A,0.72
2008-04-21,-1.86,1.69,0.05,-0.77
2008-04-22,0,#N/A,0.14,0.41
2008-04-24,1,#N/A,-0.16,0.1
2008-04-25,0,-0.21,0.23,0.58
2008-04-26,-3.74,0.49,0.29,-2.15
2008-04-27,-3.89,-0.31,-0.64,1.77
2008-04-28,-8.09,-0.32,-0.19,0.21
2008-04-29,0,0.27,0.12,0.76
2008-04-30,-17.61,0.76,0.71,1.34
2008-05-01,7.89,0,-0.27,-0.31
2008-05-02,2.93,-0.09,0.07,0.33
2008-05-03,1.81,0.11,0.57,-0.79
2008-05-04,-7.09,0.02,-0.47,-0.2
2008-05-08,-10.17,0.56,0.14,-0.95
2008-05-09,-5.66,0.34,-0.09,-1.33
2008-05-10,-6,#N/A,-0.34,0.05
2008-05-11,-6.39,#N/A,-0.78,0.3
2008-05-12,4.38,0.15,-0.24,-1.24
2008-05-13,-6.54,0,0.13,-1.89
2008-05-14,-11.89,0.54,0.27,-0.79
2008-05-15,6.25,-0.18,-0.07,0.43
2008-05-17,14.96,0.51,-0.05,-0.37
2008-05-18,-11.05,-0.39,-0.53,-0.02
2008-05-19,4.31,-0.26,-0.19,-1.19
2008-05-24,-3.5,1.01,0.28,0.1
2008-05-26,-7.26,-1.15,0.19,-1.02
2008-05-28,0,1.04,0.41,0.39
2008-05-29,6.59,0.05,0.03,-0.13
2008-06-02,9.8,-0.18,-0.33,-0.02
2008-06-04,0,0.57,0,-1.16
2008-10-04,-6.69,-0.06,-0.2,-1.4
2008-10-05,-10.75,0.16,0.16,2.53
2008-10-09,24.87,0.06,0.37,1.35
2008-10-10,2.6,0.07,0.16,0.1
2008-10-11,2.53,-0.1,0.04,-1.19
2008-10-12,-2.76,#N/A,-0.77,-1
2008-10-13,-1.49,#N/A,-0.2,1.95
2008-10-14,-9.57,-1.24,0.49,0.45
2008-10-15,-14.11,-0.63,0.1,0.34
2008-10-16,1.59,0.88,0.12,-0.38
2008-10-17,-12.86,-1.83,0.27,-0.86
2008-10-18,10.61,0.61,-0.25,0.31
2008-10-19,-27.7,1.27,-0.73,-0.06
2008-10-20,-5.8,-0.09,0.47,-0.37
2008-10-21,4.68,0.23,0.04,-0.34
2008-10-22,-2.25,0.46,-0.53,0.63
2008-10-23,19.45,0.96,-0.42,-0.75
2008-10-24,2.86,0.11,-0.3,-0.93
2008-10-25,40.65,0.18,0.23,-0.36
2008-10-27,1.49,0.45,0,-0.15
2008-10-28,-13.73,0.32,0.45,-1.7
2008-10-29,11.01,-0.24,0.44,0.85
2008-10-30,3.5,0.13,-0.28,-0.76
2008-10-31,13.85,0.56,-0.31,-0.45
2008-11-01,14.51,-0.16,0.51,0.08
2008-11-02,-9.13,-0.55,-0.41,0.38
2008-11-03,4.61,-0.24,-0.64,-0.13
2008-11-04,12.9,0.67,0.14,-0.47
2008-11-05,-0.93,-0.83,-0.66,-0.06
2008-11-06,-9.99,0.72,-0.23,-2.02
2008-11-07,-7.62,-0.33,0.15,1.03
2008-11-08,23.91,0.78,0.17,-0.12
2008-11-09,13.81,-0.06,0.48,0.68
2008-11-10,22.57,0.41,-0.27,-1.68
2008-11-11,0,#N/A,0.28,-0.95
2008-11-12,1.34,#N/A,-0.24,0.38
2008-11-13,4.4,0.52,0.36,0.16
2008-11-14,1.31,-1.05,-0.01,-0.56
2008-11-15,-0.97,0.4,0.14,1.71
2008-11-16,4.88,-0.43,0.17,0.94
2008-11-17,-1.56,0.63,0,-0.02
2008-11-18,0.01,0.35,-0.18,0.78
